table,field,description
reg_academic,pending_grad_plan,Pending Grad Plan
reg_academic,change_uid,Change Uid
reg_academic,curriculum,Curriculum
reg_academic,diploma_type,Diploma Type
reg_academic,modeled_grad_plan,Modeled Grad Plan
reg_academic,advisor,Advisor
reg_academic,act_grad_plan,Actual Graduation Plan
reg_academic,elig_expires_date,Eligibility Restriction Date
reg_academic,change_date_time,Change Date Time
reg_academic,federal_grad_year,Federal Grad Year
reg_academic,promotion,Promotion
reg_academic,elig_effective_dte,Eligibility Effective Date
reg_academic,votec,VoTec
reg_academic,graduation_year,Graduation Year
reg_academic,student_id,Student Id
reg_academic,schd_priority,Scheduling Priority
reg_academic,elig_status,Elig Status
reg_academic,rc_hold_override,Rc Hold Override
reg_academic,hold_report_card,Report Card on Hold
reg_academic,elig_reason,Elig Reason
reg_academic,graduation_date,Graduation Date
reg_academic,disciplinarian,Disciplinarian
reg_academic,graduate_req_group,Graduation Req Group
reg_academic,exp_grad_plan,Expected Graduation Plan
reg_activity_det,start_date,Start Date
reg_activity_det,change_uid,Change Uid
reg_activity_det,school_year,School Year
reg_activity_det,duration,Duration
reg_activity_det,override,Override
reg_activity_det,student_id,Student Id
reg_activity_det,end_date,End Date
reg_activity_det,ineligible,Ineligible
reg_activity_det,activity_comment,Activity Comment
reg_activity_det,activity_status,Activity Status
reg_activity_det,activity_code,Activity Code
reg_activity_det,change_date_time,Change Date Time
reg_activity_det,building,Building
reg_user-R-106,field_value-1,Biliteracy Language 1
reg_user-R-106,field_value-2,Achievement Date 1
reg_user-R-106,field_value-3,Biliteracy Language 2
reg_user-R-106,field_value-4,Achievement Date 2
reg_user-R-106,field_value-5,Biliteracy Language 3
reg_user-R-106,field_value-6,Achievement Date 3
reg_user-R-106,field_value-7,Biliteracy Language 4
reg_user-R-106,field_value-8,Achievement Date 4
reg_user-R-106,field_value-1,Biliteracy Language 1
reg_user-R-106,field_value-2,Achievement Date 1
reg_user-R-106,field_value-3,Biliteracy Language 2
reg_user-R-106,field_value-4,Achievement Date 2
reg_user-R-106,field_value-5,Biliteracy Language 3
reg_user-R-106,field_value-6,Achievement Date 3
reg_user-R-106,field_value-7,Biliteracy Language 4
reg_user-R-106,field_value-8,Achievement Date 4
reg_contact_phone,phone_extension,Phone Extension
reg_contact_phone,change_date_time,Change Date Time
reg_contact_phone,sif_refid,Sif Refid
reg_contact_phone,change_uid,Change Uid
reg_contact_phone,phone_type,Phone Type
reg_contact_phone,phone_listing,Phone Listing
reg_contact_phone,phone,Phone
reg_contact_phone,phone_priority,Phone Priority
reg_contact,login_id,Contact Login Id
reg_contact,email_preference,Contact Email Preference
reg_contact,last_name,Contact Last Name
reg_contact,home_building_type,Contact Home Building Type
reg_contact,employer,Contact Employer
reg_contact,street_number,Contact Street Number
reg_contact,city,Contact City
reg_contact,email,Contact Email
reg_contact,apartment,Contact Apartment
reg_contact,salutation,Contact Salutation
reg_contact,home_language,Contact Home Language
reg_contact,street_name,Contact Street Name
reg_contact,education_level,Contact Education Level
reg_contact,generation,Contact Generation
reg_contact,plan_area_number,Contact Plan Area Number
reg_contact,pwd_chg_date_time,Contact Pwd Chg Date Time
reg_contact,chg_pw_next_login,Contact Chg Pw Next Login
reg_contact,middle_name,Contact Middle Name
