db,name,object_id,RowCount,create_date,modify_date,PK_name,PKColumns,TableColumns,TableHasChangeDT
eFin,aca_1094load,1108251053,7,2017-01-05 18:47:57,2017-01-05 18:47:57,,,"[row_id],[taxyr],[batch_no],[paygrp01],[paygrp02],[paygrp03],[paygrp04],[paygrp05],[paygrp06],[paygrp07],[paygrp08],[paygrp09],[paygrp10],[paygrp11],[paygrp12],[paygrp13],[paygrp14],[paygrp15],[paygrp16],[paygrp17],[paygrp18],[paygrp19],[paygrp20],[paygrp21],[paygrp22],[paygrp23],[paygrp24],[fte_calc_date]",
eFin,aca_1094loadsave,1092250996,0,2017-01-05 18:47:57,2017-01-05 18:47:57,,,"[row_id],[taxyr],[batch_no],[paygrp01],[paygrp02],[paygrp03],[paygrp04],[paygrp05],[paygrp06],[paygrp07],[paygrp08],[paygrp09],[paygrp10],[paygrp11],[paygrp12],[paygrp13],[paygrp14],[paygrp15],[paygrp16],[paygrp17],[paygrp18],[paygrp19],[paygrp20],[paygrp21],[paygrp22],[paygrp23],[paygrp24],[fte_calc_date]",
eFin,aca_1094payrun,1753109336,7,2016-10-18 12:50:56,2016-10-18 12:50:56,,,"[taxyr],[eid],[prunjan],[prunfeb],[prunmar],[prunapr],[prunmay],[prunjun],[prunjul],[prunaug],[prunsep],[prunoct],[prunnov],[prundec]",
eFin,aca_aggregate_ale,1577108709,0,2016-10-18 12:50:54,2016-10-18 12:50:54,,,"[eid],[taxyr],[aggr_ale_name],[aggr_ale_eid]",
eFin,aca_ben_class,1657108994,0,2016-10-18 12:50:55,2016-10-18 12:50:55,,,"[type],[start_date],[end_date],[class]",
eFin,aca_ben_deduct,1673109051,28,2016-10-18 12:50:55,2016-10-18 12:50:55,,,"[type],[start_date],[end_date],[ded_cd],[plan_title],[covg_group],[low_prem_ind]",
eFin,aca_ben_grps,1689109108,7,2016-10-18 12:50:55,2016-10-18 12:50:55,,,"[type],[title],[full_part_emp],[start_date],[end_date],[offer],[summer_covg],[covg_offset_type],[covg_offset_days],[term_offset_type],[term_offset_days],[benefit_start_type],[benefit_start_offset_days],[summer_covg_date],[emp_share]",
eFin,aca_benefit_status,1513108481,5,2016-10-18 12:47:59,2016-10-18 12:47:59,,,"[ded_code],[aca_status],[offer_code]",
eFin,aca_code_table,1705109165,295,2016-10-18 12:50:55,2016-12-19 19:07:00,,,"[yr],[code_type],[code],[short_desc],[value]",
eFin,aca_cov_ind,884250255,2668,2016-12-19 19:06:59,2017-03-23 18:38:26,,,"[taxyr],[empl_no],[empl_ssn],[seq_no],[batch_no],[depend_no],[f_name],[l_name],[m_name],[name_suffix],[ssn],[birthdate],[covered_all],[covered_jan],[covered_feb],[covered_mar],[covered_apr],[covered_may],[covered_jun],[covered_jul],[covered_aug],[covered_sep],[covered_oct],[covered_nov],[covered_dec],[data_source],[data_sourced_date],[ben_dep_key],[full_name]",
